country_code,year,total_resource_rents_gdp,oil_rents_gdp,mineral_rents_gdp
CSS,1989,7.5824874931979,5.86619801124887,0.86932411512273
CSS,1990,9.19105071753038,7.40601893629692,0.769245618621192
CSS,1991,5.84699018617096,4.04465522770786,0.819813097065449
CSS,1992,5.53288209686735,3.89493374562664,0.706540261218887
CSS,1993,5.81022215904801,3.77344079534481,0.848349014381956
CSS,1994,5.65261092028439,3.46205663755616,0.975479129893922
CSS,1995,6.03113890771322,3.92308129885373,0.717996786577503
CSS,1996,6.61228187514655,4.51522081545144,0.81892812010194
CSS,1997,4.98937229875134,3.32475075721887,0.537084915485095
CSS,1998,2.70858900218704,1.63946955062042,0.299193117028137
CSS,1999,3.93180840097457,2.75162656704281,0.260156614283608
CSS,2000,5.4262796858701,3.81038563633121,0.293964637054318
CSS,2001,4.14056738211568,2.57705286070072,0.2004191065007
CSS,2002,4.54870109040218,3.21087033169404,0.149882107233485
CSS,2003,4.67391932378817,3.21906900299251,0.203310130070507
CSS,2004,5.20851232156477,3.65112697959022,0.352359294779996
CSS,2005,7.92869429416839,5.3764001523357,0.512295811846747
CSS,2006,9.04782500216796,5.65424482599575,0.50305884359915
