Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
2008-2017,2008,2017,10,-0.009560796140164862,0.008817680202115166,0.27824258790303846,447574,1183,1286
2008-2018,2008,2018,11,-0.00674855060005949,0.008667543366532424,0.4362152883327738,493599,1275,1419
2008-2019,2008,2019,12,-0.0003260250465344514,0.008471008093387094,0.969299268483168,539619,1351,1571
2009-2016,2009,2016,8,-0.009706656533700375,0.009576838866398929,0.31079495911444044,357616,957,1042
2009-2017,2009,2017,9,-0.010120130365016942,0.009322463975330356,0.2776719778256467,403560,1061,1161
2009-2018,2009,2018,10,-0.006825074023113813,0.009082636819560896,0.4523867440958216,449585,1153,1294
2009-2019,2009,2019,11,0.0005232542299427878,0.008849047523625312,0.9528476593188059,495605,1229,1446
2010-2017,2010,2017,8,-0.01002950941484995,0.010526199194330692,0.3406843458339025,360325,945,1038
2010-2018,2010,2018,9,-0.005367000628151539,0.010117704280008515,0.595795555470617,406350,1037,1171
2010-2019,2010,2019,10,0.0037751249235077303,0.009736550846765283,0.698217975942037,452370,1113,1323
2011-2018,2011,2018,8,-0.005259135140471142,0.010371280147833015,0.6120941952311263,361300,918,1050
2011-2019,2011,2019,9,0.005129066212844693,0.009804939707800376,0.6008974087139165,407320,994,1202
2012-2019,2012,2019,8,0.013556514721695563,0.00969747714752287,0.16213035725577885,362292,874,1084
